year,lbda
1451,1.4679
1452,-0.65497
1453,1.47472
1454,0.030549999999999997
1455,-5.5489
1456,-1.93271
1457,-3.28238
1458,1.66287
1459,-2.36863
1460,-1.5442
1461,-1.2706
1462,1.82614
1463,-0.09975
1464,-4.64936
1465,-2.47101
1466,2.43342
1467,3.25342
1468,0.68231
1469,1.33125
1470,-0.07262
1471,-5.08362
1472,-1.55749
1473,-2.01421
1474,-0.19058
1475,-2.8398
1476,0.50733
1477,2.40118
1478,2.46345
1479,-0.18293
1480,-2.84132
1481,0.88175
1482,2.05398
1483,-0.12148
1484,5.6252
1485,3.00589
1486,3.63347
1487,-1.98067
1488,0.24412
1489,1.99659
1490,2.43485
1491,4.91947
1492,1.77243
1493,0.90004
1494,1.73097
1495,-5.42754
1496,-1.36274
1497,-1.43351
1498,3.50971
1499,1.24395
1500,-4.60966
1501,-1.30825
1502,0.37448
1503,0.027320000000000004
1504,1.28579
1505,-0.54188
1506,-5.28135
1507,2.1359
1508,1.7924
1509,3.52083
1510,-0.62379
1511,4.06992
1512,2.19576
1513,2.07282
1514,2.38322
1515,0.443
1516,-1.96249
1517,-2.3788299999999998
1518,-0.55288
1519,2.20766
1520,0.81952
1521,0.69012
1522,-4.64212
1523,-1.53082
1524,-1.23326
1525,0.05251
1526,3.46113
1527,0.51801
1528,-1.79152
1529,0.80464
1530,1.71486
1531,-0.08266
1532,-4.26003
1533,-0.43656
1534,0.48678
1535,0.6837
1536,3.41494
1537,2.4044
1538,-3.97057
1539,1.68489
1540,2.88546
1541,0.58599
1542,-6.40344
1543,0.55467
1544,-1.55396
1545,-2.1082899999999998
1546,0.0516
1547,-2.04352
1548,-0.8293
1549,1.68302
1550,3.43746
1551,0.59839
1552,1.11578
1553,3.76505
1554,1.41926
1555,3.45097
1556,4.55608
1557,2.66219
1558,-0.83685
1559,0.20906
1560,-0.26534
1561,-1.3981
1562,-0.39098
1563,0.10302
1564,3.04259
1565,3.34197
1566,0.44322
1567,-0.66721
1568,1.61065
1569,1.90929
1570,1.35095
1571,-1.06316
1572,0.50166
1573,-3.88016
1574,-2.93004
1575,-1.48258
1576,-2.57788
1577,-0.0716
1578,-0.7738
1579,-4.9284
1580,-3.74592
1581,-0.91751
1582,-1.21827
1583,-4.0688
1584,-5.66134
1585,-6.80581
1586,-0.37514
1587,-0.56532
1588,1.1603
1589,0.0902
1590,-2.79365
1591,0.33833
1592,-1.75305
1593,-0.6778299999999999
1594,4.49191
1595,1.66682
1596,1.80056
1597,0.40886
1598,-0.5884
1599,3.0848
1600,-3.43214
1601,-2.29825
1602,0.55012
1603,1.84009
1604,1.54783
1605,1.49046
1606,0.85215
1607,-0.3682
1608,1.8578
1609,2.07216
1610,4.61891
1611,2.16097
1612,1.97723
1613,-1.32329
1614,0.77568
1615,1.96371
1616,1.5787
1617,2.76433
1618,4.39391
1619,1.1277
1620,3.00635
1621,4.12507
1622,0.29634
1623,-2.56734
1624,-4.4052299999999995
1625,-1.26166
1626,-3.12032
1627,1.79556
1628,-0.58002
1629,2.2989100000000002
1630,2.1876700000000002
1631,-0.76925
1632,-4.39677
1633,0.27119
1634,1.58104
1635,2.33141
1636,1.31928
1637,0.03036000000000001
1638,-0.5115999999999999
1639,2.15038
1640,4.2145
1641,2.0181
1642,2.15176
1643,1.79767
1644,2.15216
1645,-0.33227
1646,1.51429
1647,1.75276
1648,-3.68206
1649,1.38994
1650,0.3533
1651,4.04239
1652,0.14718
1653,-0.97168
1654,-4.82217
1655,1.51428
1656,0.93269
1657,-0.10391
1658,-0.57184
